Rank_0,Rank_1,Team (FPV),Conf,WLT,Points,Last Week,W-L,BCS,CP,CFP,3WT
1,< 1,Miami (FL) (24),Ind,0-0,1431,DNP,,,,,
2,< 2,Notre Dame (22),Ind,0-0,1406,DNP,,,,,
3,< 6,Auburn (3),SEC,0-0,1311,DNP,,,,,
4,< 3,Florida State (6),Ind,0-0,1268,DNP,,,,,
5,< 4,Colorado (4),Big 8,0-0,1258,DNP,,,,,
6,< 7,Michigan,Big Ten,0-0,1116,DNP,,,,,
7,< 11,Nebraska,Big 8,0-0,1019,DNP,,,,,
8,< 5,Tennessee,SEC,0-0,982,DNP,,,,,
9,< 8,USC,Pac-10,0-0,977,DNP,,,,,
10,< 12,Clemson,ACC,0-0,919,DNP,,,,,
11,< 10,Illinois,Big Ten,0-0,900,DNP,,,,,
12,< 9,Alabama,SEC,0-0,728,DNP,,,,,
13,< 20,Texas A&M,Southwest,0-0,719,DNP,,,,,
14,< 13,Arkansas,Southwest,0-0,629,DNP,,,,,
15,< 18,Virginia,ACC,0-0,575,DNP,,,,,
16,< 22,BYU,WAC,0-0,557,DNP,,,,,
17,< 24,Ohio State,Big Ten,0-0,502,DNP,,,,,
18,< 17,Pittsburgh,Ind,0-0,459,DNP,,,,,
19,< NR,UCLA,Pac-10,0-0,404,DNP,,,,,
20,< 23,Washington,Pac-10,0-0,394,DNP,,,,,
21,< 15,Penn State,Ind,0-0,362,DNP,,,,,
22,< NR,Oklahoma,Big 8,0-0,311,DNP,,,,,
23,< 16,Michigan State (1),Big Ten,0-0,288,DNP,,,,,
24,< 14,Houston,Southwest,0-0,195,DNP,,,,,
25,< 21,West Virginia,Ind,0-0,119,DNP,,,,,
RV,< 25,Arizona,Pac-10,0-0,114,DNP,,,,,
RV,< NR,Syracuse,Ind,0-0,97,DNP,,,,,
RV,< NR,Arizona State,Pac-10,0-0,72,DNP,,,,,
RV,< NR,Georgia,SEC,0-0,59,DNP,,,,,
RV,< NR,Fresno State,Big West,0-0,50,DNP,,,,,
RV,< NR,Florida,SEC,0-0,47,DNP,,,,,
RV,< NR,Hawaii,WAC,0-0,34,DNP,,,,,
RV,< NR,Louisville,Ind,0-0,34,DNP,,,,,
RV,< NR,Georgia Tech,ACC,0-0,27,DNP,,,,,
RV,< NR,Texas,Southwest,0-0,27,DNP,,,,,
RV,< NR,Mississippi,SEC,0-0,21,DNP,,,,,
RV,< NR,Oregon,Pac-10,0-0,21,DNP,,,,,
RV,< NR,Washington State,Pac-10,0-0,15,DNP,,,,,
RV,< NR,South Carolina,Ind,0-0,13,DNP,,,,,
RV,< 19,Texas Tech,Southwest,0-0,12,DNP,,,,,
RV,< NR,LSU,SEC,0-0,10,DNP,,,,,
RV,< NR,Kentucky,SEC,0-0,9,DNP,,,,,
RV,< NR,Colorado State,WAC,0-0,4,DNP,,,,,
RV,< NR,Duke,ACC,0-0,3,DNP,,,,,
