latitude,longitude,fips1,fips2,fips3,fips4,fips5,fips6
33.7058,-118.2906,060372976011002,,,,,
33.706,-118.2898,060372976011002,,,,,
33.7062,-118.2917,060372976011002,,,,,
33.7065,-118.2928,060372976011002,060372975002003,,,,
33.7065,-118.2879,060372976012006,060372976011002,,,,
33.7066,-118.2879,060372976012006,060372976011002,,,,
33.7067,-118.2879,060372976012006,060372976011002,060372976012005,,,
33.707,-118.2939,060372975001018,060372975002003,,,,
33.707,-118.2928,060372976011003,060372976011002,060372975001018,060372975002003,,
33.707,-118.2916,060372976011003,060372976011002,,,,
33.707,-118.2912,060372976011013,060372976011003,060372976011002,,,
33.707,-118.2907,060372976011013,060372976011002,060372976011019,,,
33.707,-118.2901,060372976011018,060372976011002,060372976011019,,,
33.7071,-118.288,060372976011008,060372976012005,,,,
33.7079,-118.2929,060372975001018,060372976011004,060372976011003,,,
33.7079,-118.2916,060372976011004,060372976011003,,,,
33.7079,-118.2912,060372976011012,060372976011004,060372976011013,060372976011003,,
33.7079,-118.2907,060372976011012,060372976011013,060372976011011,060372976011014,,
33.7079,-118.2901,060372976011016,060372976011015,060372976011011,060372976011014,,
33.7079,-118.2879,060372976012004,060372976011009,060372976012005,060372976011008,,
33.7079,-118.2863,060372976013019,060372976012004,060372976012006,060372976012005,,
33.7083,-118.2879,060372976012004,060372976011009,,,,
33.7087,-118.2929,060372975001018,060372976011004,060372976011005,,,
33.7087,-118.2862,060372976012004,060372976012003,,,,
33.7088,-118.2916,060372976011005,060372976011004,,,,
33.7088,-118.2912,060372976011006,060372976011005,060372976011012,060372976011004,,
33.7088,-118.2901,060372976011007,060372976011010,060372976011011,,,
33.7088,-118.2879,060372976012003,060372976011007,060372976012004,060372976011009,,
33.7089,-118.2855,060372976012000,060372976013019,060372976012003,,,
33.7096,-118.2929,060372975001018,060372976011005,060372976022014,,,
33.7096,-118.2916,060372976011005,060372976022014,,,,
33.7096,-118.2906,060372976011007,060372976022016,060372976011006,060372976022015,,
33.7096,-118.29,060372976011007,060372976022016,,,,
33.7096,-118.2882,060372976011007,060372976022016,,,,
33.7096,-118.2879,060372976012003,060372976011007,060372976012002,060372976022016,,
33.7096,-118.2862,060372976012000,060372976012003,060372976012002,,,
33.7096,-118.2856,060372976012000,060372976013019,,,,
33.7105,-118.286,060372976013019,060372976012000,060372976013018,,,
33.7106,-118.2929,060372975001018,060372976022013,060372976022014,,,
33.7106,-118.2916,060372976022013,060372976022014,,,,
33.7106,-118.2912,060372976022012,060372976022013,060372976022015,060372976022014,,
33.7106,-118.2907,060372976022012,060372976022015,060372976022011,060372976022016,,
33.7106,-118.29,060372976022011,060372976022016,,,,
33.7106,-118.2882,060372976022011,060372976022016,,,,
33.7106,-118.2879,060372976012001,060372976012002,060372976022011,060372976022016,,
33.7106,-118.2871,060372976012001,060372976012002,060372976012000,,,
33.7108,-118.2985,060372975001021,060372975002003,060372975001018,,,
33.7109,-118.2994,060372975001021,060372975002003,060372975001026,,,
33.7109,-118.299,060372975001021,060372975002003,,,,
33.7113,-118.3014,060372975002005,060372975002003,060372975002002,,,
